hh_id,region_name,region_id,latnum,longnum,sex_binary,age,eduyrs,hh_income,wt.by.ht,water_source,water_mins,hhid,hv001,hv006,hv007,hv009,hv012,hv014,hv021,hv023,hv024,hv025,hv040,hv201,hv204,hv205,hv206,hv207,hv208,hv209,hv213,hv214,hv215,hv221,hv225,hv235,hv270,hv104,hv105,hv106,hv107,hv108,hv109,hv111,hv113,hv121,hv124,region
1 92,manicaland,167,6.9022698,8.0971146,female,12,4,poorest,-0.922350067,river/dam/lake/ponds/stream/canal/irrigation channel,20,1 92,1,5,2013,8,8,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,20,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,99,natural - thatch,no,no,elsewhere,poorest,female,12,primary,3,3,incomplete primary,yes,yes,attended at some time,4,167
1 36,manicaland,167,6.9022698,8.0971146,female,12,1,poorer,0.66533035,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 36,1,5,2013,7,7,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,female,12,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 49,manicaland,167,6.9022698,8.0971146,male,8,1,poorer,0.38503157,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 49,1,5,2013,10,10,3,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,finished - metal,no,yes,elsewhere,poorer,male,8,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 49,manicaland,167,6.9022698,8.0971146,male,9,2,poorer,0.128612574,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 49,1,5,2013,10,10,3,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,finished - metal,no,yes,elsewhere,poorer,male,9,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 70,manicaland,167,6.9022698,8.0971146,male,6,5,poorer,-1.507333507,river/dam/lake/ponds/stream/canal/irrigation channel,10,1 70,1,5,2013,7,7,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,10,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,6,primary,4,4,incomplete primary,yes,yes,attended at some time,5,167
1 62,manicaland,167,6.9022698,8.0971146,male,6,1,poorer,2.635496473,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 62,1,5,2013,6,6,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,6,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1  4,manicaland,167,6.9022698,8.0971146,female,13,4,poorer,0.439038807,river/dam/lake/ponds/stream/canal/irrigation channel,30,1  4,1,5,2013,5,5,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,30,no facility/bush/field,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,NA,elsewhere,poorer,female,13,primary,3,3,incomplete primary,yes,yes,attended at some time,4,167
1 90,manicaland,167,6.9022698,8.0971146,female,9,1,poorer,1.217670732,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,1 90,1,5,2013,6,6,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,finished - metal,no,no,in own yard/plot,poorer,female,9,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 45,manicaland,167,6.9022698,8.0971146,male,14,7,middle,1.55746722,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 45,1,5,2013,10,10,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine with slab,no,yes,no,no,finished - cement,natural - mud,finished - metal,no,no,elsewhere,middle,male,14,secondary,0,6,incomplete secondary,yes,yes,attended at some time,7,167
1 34,manicaland,167,6.9022698,8.0971146,female,10,2,poorer,-1.106089953,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 34,1,5,2013,8,8,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,yes,elsewhere,poorer,female,10,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 26,manicaland,167,6.9022698,8.0971146,female,8,1,poorer,-0.66773516,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 26,1,5,2013,5,5,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,female,8,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 11,manicaland,167,6.9022698,8.0971146,female,15,8,poorer,0.313676422,unprotected spring,60,1 11,1,5,2013,9,9,1,1,35,manicaland,rural,81,unprotected spring,60,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,rudimentary - stone with mud,natural - thatch,no,no,elsewhere,poorer,female,15,secondary,1,7,incomplete secondary,yes,no,attended at some time,8,167
1 72,manicaland,167,6.9022698,8.0971146,male,6,2,poorer,-0.502120174,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 72,1,5,2013,7,7,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,finished - metal,no,no,elsewhere,poorer,male,6,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 17,manicaland,167,6.9022698,8.0971146,male,13,3,poorest,0.170700093,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 17,1,5,2013,13,13,5,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorest,male,13,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 34,manicaland,167,6.9022698,8.0971146,female,12,5,poorer,-0.202917441,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 34,1,5,2013,8,8,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,yes,elsewhere,poorer,female,12,primary,4,4,incomplete primary,yes,yes,attended at some time,5,167
1 32,manicaland,167,6.9022698,8.0971146,male,10,5,poorer,-0.046279844,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 32,1,5,2013,3,3,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,no facility/bush/field,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,NA,elsewhere,poorer,male,10,primary,4,4,incomplete primary,yes,no,attended at some time,5,167
1  2,manicaland,167,6.9022698,8.0971146,male,6,1,poorer,0.024274975,river/dam/lake/ponds/stream/canal/irrigation channel,40,1  2,1,5,2013,10,10,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,40,no facility/bush/field,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,NA,elsewhere,poorer,male,6,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 49,manicaland,167,6.9022698,8.0971146,female,6,1,poorer,0.819059391,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 49,1,5,2013,10,10,3,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,finished - metal,no,yes,elsewhere,poorer,female,6,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1  4,manicaland,167,6.9022698,8.0971146,female,8,2,poorer,-1.074169052,river/dam/lake/ponds/stream/canal/irrigation channel,30,1  4,1,5,2013,5,5,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,30,no facility/bush/field,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,NA,elsewhere,poorer,female,8,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
